participant_id,session_index,feedback_mode,feedback_focus,target_position_x,target_position_y,target_label,target_depth_min,target_depth_max,avg_error,std_error,avg_depth,std_depth,avg_bpm,std_bpm,n_valid_timesteps
13,0,audio,position,2,9,t3,33,40,4.726453416149068,2.0920627223306067,44.54351851851852,7.335620895079279,109.44145283018868,7.685696387755382,229
13,1,belt,position,5,3,t6,33,40,0.59805625,0.3110151573250691,51.314074074074085,1.167149929304712,110.31732075471697,8.342336860457195,228
13,2,box,position,2,9,t3,33,40,3.3763926380368106,1.3152162687426863,39.63368421052631,6.388348942885515,113.14642857142857,9.927822129999003,234
13,3,glove,position,5,7,t2,40,50,3.050982352941176,0.8729346614827441,45.99770491803279,2.763549863373712,115.858,10.310724410373245,237
13,4,N/A,N/A,5,3,t6,33,40,1.7438913043478264,0.27000939824712944,,,,,92
13,5,screen,position,5,7,t2,40,50,4.21319760479042,0.3681545698475739,50.64245614035087,2.18768425245217,111.69705357142857,10.315216932868166,229
14,0,audio,position,5,5,t1,40,50,2.683030487804878,0.7572595684100284,45.54500000000001,3.052064289717933,110.11865454545453,11.387423102573505,228
14,1,belt,position,5,3,t6,33,40,0.7338235294117648,0.5363917505281025,43.49833333333332,6.624233219078321,107.20524528301888,14.967043386463777,234
14,2,box,position,7,5,t5,40,50,1.015169811320755,0.6100482732476318,39.31809523809524,9.86349600875568,94.24146341463414,24.89476122585963,220
14,3,glove,position,5,3,t6,33,40,0.6494939024390245,0.40541682099205945,40.19581818181819,4.788227871432221,111.12372222222221,10.212725629978015,229
14,4,N/A,N/A,5,5,t1,40,50,2.8957111111111113,0.37716634244924774,,,,,90
14,5,screen,position,7,5,t5,40,50,0.9434999999999999,0.6155745785562509,45.227321428571436,9.213996242338421,108.17849090909093,7.524894340237314,230
15,0,audio,position,5,7,t2,40,50,2.0853121019108283,1.5020359425313667,33.66843137254902,6.671272146241064,105.3691,8.055560894810492,220
15,1,belt,position,5,3,t6,33,40,0.979006289308176,0.3092143930041869,41.364000000000004,10.815294602244236,88.91103448275861,36.09583811569795,206
15,2,box,position,5,5,t1,40,50,0.71101875,0.6186006332024221,37.051886792452834,3.454697134203061,106.22605769230768,3.9540708692408746,227
15,3,glove,position,7,5,t5,40,50,1.5235886075949368,1.5651217048553936,38.674042553191484,4.310996656041616,101.27780434782609,16.974529117653546,221
15,4,N/A,N/A,5,3,t6,33,40,1.4114214876033053,0.3923485706111301,,,,,121
15,5,screen,position,5,5,t1,40,50,1.9131298701298698,0.331489254714074,42.46333333333334,9.895874935585066,112.2245283018868,11.640829553860378,223
16,0,audio,position,2,9,t3,33,40,1.5119939393939392,1.5605703755143392,31.44354838709678,5.790247110659215,122.13100000000003,10.11828200119653,243
16,1,belt,position,2,9,t3,33,40,1.1400491803278687,0.5295231825519859,29.845588235294116,1.011760815655996,123.08550746268656,10.995007991245675,266
16,2,box,position,6,10,t4,33,40,1.0278863636363638,1.1494452558420023,29.806417910447763,2.3439236790925086,125.28324242424242,8.531859573956627,263
16,3,glove,position,6,10,t4,33,40,1.9475308641975309,1.8095900298708254,32.00839285714286,3.8575407491532157,113.43956363636366,10.747276151765805,256
16,4,N/A,N/A,6,10,t4,33,40,6.41360736196319,0.25222943191897645,,,,,163
